"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"32","292.09058469005885","344.5067268059713","0.003662109375","0.005859375","0.00146484375","2200","0.0001052055321937045","32","0.0001052055321937045","0","0.0001052055321937045","0.0001052055321937045","31:0.0012666379964673402;33:0.0011853436685886065","31:68;33:68","31:0.001450944156273587;33:0.0017286974130074073","0.003662109375","0.0029296875","Yes"
"33","321.46851610385346","268.80340451263095","0.00341796875","0.00390625","0.0029296875","2200","0.00026667900103889393","32","0.00026667900103889393","0","0.00026667900103889393","0.00026667900103889393","39:0.0008876089676244925;32:0.0011853436685886065;34:0.000754020794736493","39:68;32:68;34:68","39:0.0011473028720070944;32:0.0017286974130074073;34:0.0011327240674964822","0.00341796875","0.002685546875","Yes"
"34","262.7215299470631","354.76000356349334","0.00439453125","0.005859375","0.0029296875","2200","0.00022529637086621422","32","0.00022529637086621422","0","0.00022529637086621422","0.00022529637086621422","33:0.000754020794736493;35:0.001188669191023617","33:68;35:68","33:0.0011327240674964822;35:0.001763693141838718","0.00439453125","0.004150390625","Yes"
"35","319.1658612955485","380.0184561659667","0.00341796875","0.00537109375","0.00146484375","2200","0.00010291891235203494","32","0.00010291891235203494","0","0.00010291891235203494","0.00010291891235203494","19:0.0006729792533162748;34:0.001188669191023617","19:68;34:68","19:0.0008506808309755864;34:0.001763693141838718","0.00341796875","0.00146484375","Yes"
"36","258.24209195955854","229.71157557635556","0.005859375","0.0068359375","0.0048828125","2200","0.00010914719450810974","32","0.00010914719450810974","0","0.00010914719450810974","0.00010914719450810974","41:0.0010376565296598694;21:0.0009476454784052013","41:68;21:68","41:0.001094528002683448;21:0.0009718245983215412","0.005859375","0.00341796875","Yes"
"37","277.7109154555621","342.73488831308396","0.003662109375","0.00390625","0.00341796875","2200","0.00012592908992397286","32","0.00012592908992397286","0","0.00012592908992397286","0.00012592908992397286","45:0.001059094100918534;25:0.0011495289890794402","45:68;25:68","45:0.0010747806989763742;25:0.001280484398652082","0.003662109375","0.0029296875","Yes"
"38","287.86476708775297","397.51841550996727","0.0048828125","0.00537109375","0.00439453125","2200","0.0001009551397658502","32","0.0001009551397658502","0","0.0001009551397658502","0.0001009551397658502","29:0.0008947802446297171;49:0.0013277578211310648","29:68;49:68","29:0.0011749706218183165;49:0.0009679222475628413","0.0048828125","0.00146484375","Yes"
"39","305.4866393873649","256.7170888139173","0.0078125","0.00732421875","0.00830078125","2200","0.00017922896414881086","32","0.00017922896414881086","0","0.00017922896414881086","0.00017922896414881086","53:0.000691222585654655;33:0.0008876089676244925","53:68;33:68","53:0.0011003007355964711;33:0.0011473028720070944","0.0078125","0.003662109375","Yes"
"40","242.00531908729232","340.5169972551865","0.001708984375","0.00244140625","0.0009765625","2200","0.00018044652437905202","32","0.00018044652437905202","0","0.00018044652437905202","0.00018044652437905202","41:0.001052663493882","41:68","41:0.0010805000419148725","0.001708984375","0.001953125","Yes"
"41","74.64132984484364","91.1232061890899","0.007080078125","0.01220703125","0.001953125","2200","0.0001856322675989885","32","0.0001856322675989885","0","0.0001856322675989885","0.0001856322675989885","40:0.001052663493882;42:0.0015444948738214115;36:0.0010376565296598694","40:68;42:68;36:68","40:0.0010805000419148725;42:0.0012056825249069925;36:0.001094528002683448","0.007080078125","0.006103515625","Yes"
"42","283.8518001225061","284.2360257226028","0.003662109375","0.00439453125","0.0029296875","2200","0.0001245391548187069","32","0.0001245391548187069","0","0.0001245391548187069","0.0001245391548187069","41:0.0015444948738214115;43:0.0009125000533662941","41:68;43:68","41:0.0012056825249069925;43:0.0011482136449179337","0.003662109375","0.010498046875","Yes"
"43","343.37749840297676","406.2914229404118","0.002685546875","0.00341796875","0.001953125","2200","0.00010941718217015137","32","0.00010941718217015137","0","0.00010941718217015137","0.00010941718217015137","42:0.0009125000533662941;56:0.0008001327137802938;44:0.0008841792072676047","42:68;56:68;44:68","42:0.0011482136449179337;56:0.004226255876444623;44:0.0012247644194731122","0.002685546875","0.00341796875","Yes"
"44","242.19744455871324","225.44528985759425","0.002197265625","0.00146484375","0.0029296875","2200","0.00020907831978335617","32","0.00020907831978335617","0","0.00020907831978335617","0.00020907831978335617","45:0.0009233980667129604;43:0.0008841792072676047","45:68;43:68","45:0.0014552907107028001;43:0.0012247644194731122","0.002197265625","0.002685546875","Yes"
"45","219.57335601460886","233.0019262235699","0.006591796875","0.00537109375","0.0078125","2200","0.0002499396223076732","32","0.0002499396223076732","0","0.0002499396223076732","0.0002499396223076732","44:0.0009233980667129604;46:0.06856524827066582;37:0.001059094100918534","44:68;46:68;37:68","44:0.0014552907107028001;46:0.08629765954726837;37:0.0010747806989763742","0.006591796875","0.0087890625","Yes"
